,,,,,,,
,,,,,,,
Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State,Grant #
Agape Dunn Avenue,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Duval County,FL,H80CS29456
CALDWELL Trauma and Resilience Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Canyon County,ID,H80CS00636
Amity Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clark County,AR,H80CS00342
Complete Care Community Health Center- Monterey Park Suite 218,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS28987
MAHEC at Cane Creek Middle,Yes,Service Delivery Site,Seasonal,School,Buncombe County,NC,[No Data]
Americas High School,Yes,Service Delivery Site,Permanent,School,El Paso County,TX,H80CS04287
Community of Hope Marie Reed Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,District of Columbia,DC,H80CS06672
VALLEY HEALTH - HARTS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lincoln County,WV,H80CS00614
PMS - Cuba School-Based Health Center,Yes,Service Delivery Site,Seasonal,School,Sandoval County,NM,H80CS00205
NCFMC-Administrative Site,No,Administrative,Permanent,All Other Clinic Types,York County,SC,H80CS00750
Paul Martin Gundersen Memorial Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Aleutians East Borough,AK,H80CS00740
SCHOOL BASED HLTH CTR - MS 399,Yes,Service Delivery Site,Permanent,School,Bronx County,NY,H80CS00472
Highland SBHC,Yes,Service Delivery Site,Seasonal,School,King County,WA,H80CS00437
Morongo Basin Healthcare District,No,Administrative,Permanent,Unknown,San Bernardino County,CA,H80CS26610
Mission City Community Network- Panorama City,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS08241
Monarch School,Yes,Service Delivery Site,Permanent,School,San Diego County,CA,H80CS00224
Henderson Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clark County,NV,H80CS00818
Southeast Community Health Systems-Zachary,Yes,Service Delivery Site,Permanent,All Other Clinic Types,East Baton Rouge Parish,LA,H80CS00370
"Family Health Care Clinic, Inc. --MONTICELLO",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lawrence County,MS,H80CS00487
CAMCARE - PAULSBORO HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gloucester County,NJ,H80CS00172
Britton Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Oklahoma County,OK,H80CS00543
"Premium Health, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY,[No Data]
Serve the People Mobile Vision Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Orange County,CA,H80CS26627
EVERETT C. WILCOX FAMILY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kent County,RI,H80CS06666
"Center for Family Health & Education, Inc",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS28984
Prism Health North Texas at UPG Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dallas County,TX,[No Data]
CSI DR GUALBERTO RABELL,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,San Juan Municipio,PR,H80CS00008
Family HealthCare Network - Squaw Valley,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fresno County,CA,H80CS00786
Rochelle Middle School,Yes,Service Delivery Site,Permanent,School,Lenoir County,NC,H80CS00104
Montecito Elementary School,Yes,Service Delivery Site,Seasonal,School,Maricopa County,AZ,H80CS28956
Grace SBHC Corbin School of Innovation,Yes,Service Delivery Site,Permanent,School,Whitley County,KY,H80CS09959
ARcare - 18,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lonoke County,AR,H80CS00207
SBHC - McLain,Yes,Service Delivery Site,Seasonal,School,Greene County,MS,H80CS00188
Luther Burbank High School,Yes,Service Delivery Site,Permanent,School,Sacramento County,CA,H80CS00045
Garfield Health Center Rosemead,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,[No Data]
CVCH Connect Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Chelan County,WA,H80CS00574
COMMUNITY HUMAN SERVICES/WOOD STREET COMMONS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Allegheny County,PA,H80CS00714
DCHC - St. Stephen Catholic School,Yes,Service Delivery Site,Seasonal,School,Orleans Parish,LA,H80CS24198
AltaMed Medical Group – Mobile Van #2,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Los Angeles County,CA,H80CS00142
SHERO Providence House 1,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY,H80CS26191
Waianae Elementary School,Yes,Service Delivery Site,Permanent,School,Honolulu County,HI,H80CS00807
Shenandoah Community Health Martinsburg North Middle School,Yes,Service Delivery Site,Permanent,School,Berkeley County,WV,H80CS00781
GRAND AVENUE HOMELESS CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pueblo County,CO,H80CS00692
KKV Mobile Clinic 1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Honolulu County,HI,H80CS00776
Healthy Connections- Admin Office,No,Administrative,Permanent,All Other Clinic Types,Garland County,AR,H80CS00279
FHC Bridgeport Medical/Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Douglas County,WA,H80CS00409
CVCH WIC,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Chelan County,WA,H80CS00574
David T. Wilson Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Meade County,KY,H80CS08218
RKM at Lewis Vincent Elementary,Yes,Service Delivery Site,Seasonal,School,Livingston Parish,LA,H80CS06459
LAWTON CHILES CHILDREN & FAM HCC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Manatee County,FL,H80CS00097
Golden Valley Health Centers - Modesto Paradise Suite E103,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stanislaus County,CA,H80CS00742
"East Georgia Healthcare Center, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Toombs County,GA,H80CS00512
Family HealthCare Network - Delano,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kern County,CA,H80CS00786
Smithville Elementary School-based Health Center,Yes,Service Delivery Site,Permanent,School,Ritchie County,WV,H80CS00843
5th Street Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Lynchburg City,VA,[No Data]
REDWOOD COAST MED SVC RESRC CTR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mendocino County,CA,H80CS00575
Custer Elementary Building 2,Yes,Service Delivery Site,Permanent,School,Monroe County,MI,H80CS00390
Emerald Elementary School,Yes,Service Delivery Site,Seasonal,School,Broomfield County,CO,H80CS00690
Leisure City K-8 Center,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL,H80CS00821
Horizon Health - Martin Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bennett County,SD,H80CS00135
La Farge School,Yes,Service Delivery Site,Permanent,School,Vernon County,WI,H80CS00824
MCHP Dental Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mitchell County,NC,H80CS24141
CHC Mobile Health Unit #1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Lower Connecticut River Valley Planning Region,CT,H80CS00326
Yakima Valley Farm Workers Dental Clinic at the YV-Tech Campus,Yes,Service Delivery Site,Permanent,School,Yakima County,WA,H80CS00639
OHI - Couch Head Start,Yes,Service Delivery Site,Seasonal,All Other Clinic Types,Solano County,CA,H80CS00631
Maria X Martinez Health Resource Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Francisco County,CA,H80CS00049
VISTA VILLAGE PEDIATRICS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS28988
Norwalk Community Health Center @ Smilow Life Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Western Connecticut Planning Region,CT,H80CS12844
Rivendell Academy,Yes,Service Delivery Site,Permanent,School,Grafton County,NH,H80CS06658
Big Lake Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Matanuska-Susitna Borough,AK,H80CS04435
Admin - Westwood,No,Administrative,Permanent,All Other Clinic Types,Harris County,TX,H80CS26586
Enrollment Services,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,El Paso County,CO,H80CS00212
Plainfield Central School SBHC,Yes,Service Delivery Site,Permanent,School,Northeastern Connecticut Planning Region,CT,H80CS00326
"Olathe Community Clinic, Inc.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Montrose County,CO,H80CS24176
Donaldsonville Primary School,Yes,Service Delivery Site,Permanent,School,Ascension Parish,LA,H80CS00504
MOUNT VIEW MIDDLE HIGH SCHOOL HC,Yes,Service Delivery Site,Seasonal,School,McDowell County,WV,H80CS00701
Mary Goff Elementary School-Based Clinic,Yes,Service Delivery Site,Seasonal,School,Rapides Parish,LA,H80CS12857
Maverick Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ,H80CS33645
The Isabelle Pearson School SBHC,Yes,Service Delivery Site,Permanent,School,Northwest Hills Planning Region,CT,H80CS00326
United Health Centers Fowler Main Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fresno County,CA,H80CS00137
MCHC - Tubac Regional Health Center Site,No,Administrative,Permanent,All Other Clinic Types,Santa Cruz County,AZ,H80CS00752
Great Mines Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,St. Francois County,MO,H80CS06670
"Family Health Care Clinic, Inc. -Mobile unit1",Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Rankin County,MS,H80CS00487
Southeastern Virginia Health System @ Four Oaks Day Service Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Newport News City,VA,H80CS00073
RVH Sevierville Intermediate School Clinic,Yes,Service Delivery Site,Seasonal,School,Sevier County,TN,H80CS00309
Women's Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mobile County,AL,H80CS00318
Centro San Vicente Homeless Health Care Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,El Paso County,TX,H80CS00637
Embudo Medical Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rio Arriba County,NM,H80CS00605
Altura Centers for Health Main Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulare County,CA,H80CS00338
Sixteenth Street Community Health Centers-St Anthony School,Yes,Service Delivery Site,Permanent,School,Milwaukee County,WI,H80CS00593
Premium Rx,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY,[No Data]
Quaker City Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Guernsey County,OH,H80CS00816
Salineville Community Health Center at Melhorn,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Columbiana County,OH,H80CS00197
CommuniCare Health Centers - Luckey Ranch,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bexar County,TX,H80CS00672
Omni Family Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kern County,CA,H80CS00615
WellSpace Health - Norwood Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sacramento County,CA,H80CS12872
CareSTL Health Grand Blvd,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Louis City,MO,H80CS00749
Family Health Center-East Broadway,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson County,KY,H80CS00102
HWC - Eufaula,Yes,Service Delivery Site,Permanent,All Other Clinic Types,McIntosh County,OK,H80CS04286
Mobile Medical Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Ravalli County,MT,H80CS28359
LISH at Smithtown,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk County,NY,H80CS00313
HopeHealth Bethea,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Darlington County,SC,H80CS08240
CommuniCare Health Centers - Hill Country Village,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bexar County,TX,H80CS00672
Sea Mar CHC - Kelso Allen St.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cowlitz County,WA,H80CS00445
MCR Dermatology by Luminary,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Manatee County,FL,H80CS00097
Arcadia Children's Healthcare Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,DeSoto County,FL,H80CS00097
School District of Hayward- Hayward Middle School,Yes,Service Delivery Site,Permanent,School,Sawyer County,WI,H80CS08784
The Wright Center for Community Health Clarks Summit Practice,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lackawanna County,PA,[No Data]
Clarity Healthcare,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Louis City,MO,H80CS26512
Neighborcare Health at Rising Star Elementary,Yes,Service Delivery Site,Seasonal,School,King County,WA,H80CS00829
La Pine School Based Health Center,Yes,Service Delivery Site,Permanent,School,Deschutes County,OR,H80CS11462
Tandem Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sumter County,SC,H80CS00868
TCCH Kennewick – Pediatric Endocrinology & Primary Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Benton County,WA,H80CS00498
White House Clinic - Irvine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Estill County,KY,H80CS00459
FHCCGLA School Based Health Center,Yes,Service Delivery Site,Permanent,School,Los Angeles County,CA,H80CS12858
CHILDREN'S VILLAGE-UPPER VALLEY,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yakima County,WA,H80CS00639
Westside Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kanawha County,WV,H80CS00294
PanCare Health Mobile Optometry,Yes,Service Delivery Site,Mobile Van,School,Jackson County,FL,H80CS06452
WMCHC-Primary Care Solutions,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,[No Data]
CISS-Quebradillas Site,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Quebradillas Municipio,PR,H80CS00353
Family Health Care Clinic - Flowood2,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rankin County,MS,H80CS00487
The Chautauqua Center - Dunkirk PT OT,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chautauqua County,NY,H80CS24166
Heritage Health Facilities Maintenance,No,Administrative,Permanent,Unknown,Kootenai County,ID,H80CS02331
Silver Creek SB Health Clinic,Yes,Service Delivery Site,Permanent,School,Santa Clara County,CA,H80CS02326
CLINICA SIERRA VISTA - Frazier Mountain Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kern County,CA,H80CS00540
Coastal Family Health Center Admin Office,No,Administrative,Permanent,All Other Clinic Types,Clatsop County,OR,H80CS00639
Southwest Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marion County,IN,H80CS00114
Family Health Services - Fairfield Pediatric Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Solano County,CA,H80CS04218
Mobile Medical Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Allegheny County,PA,H80CS06643
Mattanawcook Academy School Based Health Center,Yes,Service Delivery Site,Permanent,School,Penobscot County,ME,H80CS02450
Great Mines Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Washington County,MO,H80CS06670
Aria Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulare County,CA,H80CS08739
Clendenin Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kanawha County,WV,H80CS00294
Health Shoppe,Yes,Service Delivery Site,Permanent,School,Mercer County,PA,H80CS00663
FamilyCare Health Center - Putnam County Mobile Unit,Yes,Service Delivery Site,Mobile Van,School,Putnam County,WV,H80CS00827
"HARDIN COUNTY REGIONAL HEALTH CENTER, INC. DBA LIFESPAN HEALTH",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Hardin County,TN,H80CS00180
Mountaintop Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tucker County,WV,H80CS00617
"WAKULLA MEDICAL CENTER, INC.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wakulla County,FL,H80CS00693
REDWOOD COAST MEDICAL SERVICES,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Mendocino County,CA,H80CS00575
Stillmeadow Elementary SBHC,Yes,Service Delivery Site,Seasonal,School,Western Connecticut Planning Region,CT,H80CS28999
Shenandoah Community Health Mobile Health Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Berkeley County,WV,H80CS00781
"Florida Community Health Centers, Inc. Mobile Unit 1",Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,St. Lucie County,FL,H80CS00798
"Mobile Primary Care, Behavioral Health and Oral Health Unit",Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Montgomery County,TN,H80CS00710
O'ROURKE DENTAL CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pueblo County,CO,H80CS00692
CHEYENNE HEALTH AND WELLNESS CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Laramie County,WY,H80CS04196
"Community Health Care Systems Inc.- Wrens, GA",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson County,GA,H80CS00507
Kansas City CARE Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,MO,H80CS28966
Denny Murphy Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Spokane County,WA,H80CS00319
Peninsula Community Health Services of Alaska - Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kenai Peninsula Borough,AK,H80CS01139
Cottage,No,Administrative,Permanent,Unknown,Alameda County,CA,H80CS00223
Mission Middle School,Yes,Service Delivery Site,Permanent,School,San Diego County,CA,H80CS00285
High Point High School (SBMH),Yes,Service Delivery Site,Permanent,School,Prince George's County,MD,H80CS04202
Dodge City Admin Office,No,Administrative,Permanent,All Other Clinic Types,Ford County,KS,H80CS00838
SAC Hospitality Lane Administration Ste 106,No,Administrative,Permanent,All Other Clinic Types,San Bernardino County,CA,H80CS28992
ACCESS Booker Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00834
CVHS - Charlotte Pharmacy,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Charlotte County,VA,H80CS00479
Care Resource Community Health Center at Ft. Lauderdale,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Broward County,FL,H80CS12864
PCC South Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00276
Apple Valley Head Start,Yes,Service Delivery Site,Permanent,School,San Bernardino County,CA,H80CS00657
Conyngham Primary Health Care Center and Building A,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Luzerne County,PA,[No Data]
SBHC - Magnolia,Yes,Service Delivery Site,Permanent,School,Jackson County,MS,H80CS00188
BURLINGTON HLTH & REHAB CENTER,Yes,Service Delivery Site,Permanent,Nursing Home,Chittenden County,VT,H80CS00311
Neighborhood Health Centers of Lehigh Valley - Easton,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Northampton County,PA,H80CS24158
ACCESS Family Care of Anderson,Yes,Service Delivery Site,Permanent,All Other Clinic Types,McDonald County,MO,H80CS00673
Sunland Park Building B,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dona Ana County,NM,H80CS00316
MCCOY ELEMENTARY SCHOOL,Yes,Service Delivery Site,Seasonal,School,Yazoo County,MS,H80CS00484
Dr. Peter Slaughter Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,MI,H80CS00398
High Country Community Health Watauga Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Watauga County,NC,H80CS24142
Carroll Floyd Dr,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Carroll County,KY,H80CS08785
OneWorld Mobile Dental Clinic - Flou-Ride,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Douglas County,NE,H80CS00737
Wesley Health Center - Recker Road,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ,H80CS12848
RHSC Medical Center at Jonesborough,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Washington County,TN,H80CS00421
VHP Children's Clinic at 6th Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lehigh County,PA,[No Data]
Morton West Tulsa Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulsa County,OK,H80CS00440
The Living Room,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY,H80CS00007
Indian Health Center of Santa Clara Valley - Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Clara County,CA,H80CS02325
SIHF Healthcare – ACC,No,Administrative,Permanent,All Other Clinic Types,St. Clair County,IL,H80CS00195
FHS - BH @ Edison Elementary School,Yes,Service Delivery Site,Seasonal,School,Erie County,OH,H80CS28351
The Wellness Center @ Perry Elementary,Yes,Service Delivery Site,Permanent,School,Jefferson County,KY,H80CS28961
SF Community Health Pine Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Francisco County,CA,H80CS28978
Equity Health - Bayview,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Francisco County,CA,H80CS00381
CHCCMO- Medical Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Cole County,MO,H80CS08748
Piedmont Health Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chatham County,NC,H80CS00315
Purvis High School,Yes,Service Delivery Site,Seasonal,School,Lamar County,MS,H80CS00610
Taos High School Clinic,Yes,Service Delivery Site,Seasonal,School,Taos County,NM,H80CS00605
Family Medical Center - Custer Elementary School,Yes,Service Delivery Site,Permanent,School,Monroe County,MI,H80CS00390
PrimeCare Young Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00341
AltaMed Medical and Dental Group: West Covina,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS00142
"Liberty Resources, Inc. - Syracuse",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Onondaga County,NY,[No Data]
Gracelight Community Health - Hollywood,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS00871
Col. J. Ensor Middle School Clinic,Yes,Service Delivery Site,Permanent,School,El Paso County,TX,H80CS04287
PMS - Veguita Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Socorro County,NM,H80CS00205
SCENIC RIVERS HEALTH SERVICES,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,St. Louis County,MN,H80CS00706
PanCare Health – Panama City,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bay County,FL,H80CS06452
Kintegra at Webb A. Murray Elementary,Yes,Service Delivery Site,Permanent,School,Catawba County,NC,H80CS00293
Nathaniel Colley High School,Yes,Service Delivery Site,Permanent,School,Sacramento County,CA,H80CS00045
BHA School Based Service Site Endeavour,Yes,Service Delivery Site,Permanent,School,Brevard County,FL,H80CS04213
Canyonlands Healthcare - Adams Chiropractic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Coconino County,AZ,H80CS00448
PrimeCare Northwest,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00341
Mobile Medical Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Audrain County,MO,H80CS26560
Compass Community Health,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Scioto County,OH,H80CS29020
PanCare Health – Gulf County,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gulf County,FL,H80CS06452
Jackson site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Ocean County,NJ,H80CS12868
Sharon Community Health Center- Primary Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mercer County,PA,[No Data]
Lebanon Medical and Pharmacy,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lebanon County,PA,H80CS00495
Loudoun Community Health Center dba HealthWorks for Northern Virginia - Sully,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fairfax County,VA,H80CS12862
Palms Medical Group - Live Oak SCSB,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suwannee County,FL,H80CS00691
TCA Health- Chatham,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00109
Lincoln Elementary School for the Arts-123,Yes,Service Delivery Site,Seasonal,School,Jefferson Parish,LA,H80CS06716
San Ysidro Health San Diego PACE/Senior Health Services Chula Vista,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS10748
Mobile Van #1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Lee County,AR,H80CS00122
HAN Lee School Based Community Health Center,Yes,Service Delivery Site,Permanent,School,Penobscot County,ME,H80CS02450
GOSHEN MEDICAL CENTER - CAPE FEAR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cumberland County,NC,H80CS00181
Greater Valley Health Center - Evergreen Crossroads,Yes,Service Delivery Site,Permanent,School,Flathead County,MT,H80CS40219
Missouri Ozarks Community Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Texas County,MO,H80CS00457
DAYBREAK,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bibb County,GA,H80CS08242
Dr. BLJ Sayre Health Center Mobile Van,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Philadelphia County,PA,H80CS06645
Community Health Mobile Unit #1,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Oklahoma County,OK,H80CS00320
Peninsula Community Health Services - Cedar House 231,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kitsap County,WA,H80CS00677
Mid-State Health Center Plymouth,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Grafton County,NH,H80CS26640
LifeLong Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA,H80CS00808
SJCH Mobile #2,Yes,Service Delivery Site,Mobile Van,School,Los Angeles County,CA,H80CS00873
Community Health Center of Cape Cod - Falmouth Housing Outreach,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Barnstable County,MA,H80CS08243
Wyoming Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kent County,MI,H80CS00770
CALHOUN MEDICAL/DENTAL CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Calhoun County,WV,H80CS00761
Central Medical Complex,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Dona Ana County,NM,H80CS00316
AltaMed Behavioral Health at Johnnie Cochran Jr. Middle School,Yes,Service Delivery Site,Seasonal,School,Los Angeles County,CA,H80CS00142
Aghaby: North Las Vegas,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clark County,NV,[No Data]
Florence Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pinal County,AZ,H80CS26606
MEHOP Primary and Behavioral Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Matagorda County,TX,H80CS12889
FRANKLIN MCKINLEY NEIGHBRHD HLTH CLINIC,Yes,Service Delivery Site,Permanent,School,Santa Clara County,CA,H80CS00885
One Health - Whitney Building,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sheridan County,WY,H80CS24102
CASIMIR PULASKI ELEMENTARY SCHOOL - SBHC,Yes,Service Delivery Site,Permanent,School,South Central Connecticut Planning Region,CT,H80CS00326
South Central Primary Care - Ashley Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lowndes County,GA,H80CS00836
Hunter Health Clinic Central Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sedgwick County,KS,H80CS00622
